Subject Code	Course Number	Class Number	Associated Class Number	Days	Start Time	End Time	Room	Instructor(s)	instructor_pittid	Ta(s)	Type	Session	Writing	Enrollment Cap	Current Enrollment	Current Waitlist	cross_list_id	Notes	Description	deleted	Academic Term Code	last_modified
CS	1501	31318	1210	F	02:20 pm	03:10 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1501	25894	1245	MW	03:25 pm	04:40 pm	TBA-50	S. Khattab	ksm73		LEC	AT		50					Enrollment Cap: 50	0	2214	2020-10-28 11:42:18
CS	1501	25895	1245	F	12:10 pm	01:00 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1501	25896	1245	F	02:20 pm	03:10 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1502	25568	1060	TuTh	01:15 pm	02:30 pm	TBA-50	T. Kosiyatrakul	tkosiyat		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1502	26946	1210	MW	11:05 am	12:20 pm	TBA-50	T. Kosiyatrakul	tkosiyat		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1502	29279	1220	MW	03:25 pm	04:40 pm	TBA-50	T. Kosiyatrakul	tkosiyat		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1511	25626	1010	MW	09:25 am	10:40 am	TBA-30	K. Pruhs	krp2		LEC	AT		25					Enrollment Cap: 25	0	2214	2020-10-28 11:42:18
CS	1520	28325	1010	MW	03:25 pm	04:40 pm	TBA-50	N. Farnan	nlf4		LEC	AT		50					Enrollment Cap: 50	0	2214	2020-10-28 11:42:18
CS	1520	28324	1010	Tu	12:10 pm	01:00 pm	TBA	TBD			REC	SE3								0	2214	2020-10-28 11:42:18
CS	1520	28326	1010	Tu	11:05 am	11:55 am	TBA	TBD		J. Lee	REC	SE3								0	2214	2020-10-28 11:42:18
CS	1520	25938	1100	W	06:30 pm	09:00 pm	TBA-50	J. Stambaugh	jvs15		LEC	SE3		50					Enrollment Cap: 50	0	2214	2020-10-28 11:42:18
CS	1520	25939	1100	Th	02:20 pm	03:10 pm	TBA	TBD			REC	SE3								0	2214	2020-10-28 11:42:18
CS	1520	25940	1100	Th	03:25 pm	04:15 pm	TBA	TBD			REC	SE3								0	2214	2020-10-28 11:42:18
CS	1530	25961	1020	TuTh	02:50 pm	04:05 pm	TBA-50	S. Sarwar	sms300		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1530	28327	1030	TuTh	01:15 pm	02:30 pm	TBA-50	S. Sarwar	sms300		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1541	25826	1010	MW	05:00 pm	06:15 pm	TBA-30	X. Tang	tax6		LEC	AT						REMOVE COE SECTION	REMOVE COE SECTION	0	2214	2020-10-28 11:42:18
CS	1550	25847	1060	TuTh	02:50 pm	04:05 pm	TBA-50	S. Khattab	ksm73		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1550	25849	1060	F	08:55 am	09:45 am	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1550	25850	1060	F	12:10 pm	01:00 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1550	25869	1100	TuTh	11:05 am	12:20 pm	TBA-50	S. Khattab	ksm73		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1550	25988	1100	Th	02:20 pm	03:10 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1550	25987	1100	F	10:00 am	10:50 am	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1550	26923	1200	TuTh	09:25 am	10:40 am	TBA-50	S. Lee	stl86		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1550	26924	1200	Tu	04:30 pm	05:20 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1550	26925	1200	Tu	05:30 pm	06:20 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1555	26648	1090	MW	01:15 pm	02:30 pm	TBA-50	K. Kosta	kok25		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1555	26635	1090	F	01:15 pm	02:05 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1555	26681	1090	F	03:25 pm	04:15 pm	TBA	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	1632	25635	1100	MW	01:15 pm	02:30 pm	TBA-50	D. Ahn	wahn		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1632	25638	1120	MW	11:05 am	12:20 pm	TBA-50	D. Ahn	wahn		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1640	25941	1030	F	01:15 pm	03:05 pm	TBA	L. Nunes Quaresma de Oliveira	lun8		PRA	AT								0	2214	2020-10-28 11:42:18
CS	1645	25932	1020	MW	06:30 pm	07:45 pm	TBA-40	K. Kosta	kok25		LEC	AT		35			1		Enrollment Cap: 35	0	2214	2020-10-28 11:42:18
CS	1651	31456	1000	MW	09:25 am	10:40 am	TBA-40	J. Lange	jlange		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1656	25947	1030	TuTh	02:50 pm	04:05 pm	TBA-60	X. Jia	xiaowei		LEC	AT		54					Enrollment Cap: 54	0	2214	2020-10-28 11:42:18
CS	1656	25948	1030	F	10:00 am	10:50 am	TBA-30	TBD			REC	AT		27					Enrollment Cap: 27	0	2214	2020-10-28 11:42:18
CS	1656	25949	1030	F	11:05 am	11:55 am	TBA-30	TBD			REC	AT		27					Enrollment Cap: 27	0	2214	2020-10-28 11:42:18
CS	1657	9999	1000	TuTh	11:05 am	12:20 pm	TBA-40	W. Garrison	wcg6		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1660	30293	1010	W	06:30 pm	09:00 pm	TBA-50	M. Farag	msf52		LEC	SE3								0	2214	2020-10-28 11:42:18
CS	1674	6523	1000	TuTh	01:15 pm	02:30 pm	TBA-40	S. Hwang	sjh95		LEC	AT		40				NEW COURSE	Enrollment Cap: 40 / NEW COURSE	0	2214	2020-10-28 11:42:18
