Subject Code,Course Number,Class Number,Associated Class Number,Days,Start Time,End Time,Room,Instructor(s),instructor_pittid,Ta(s),Type,Session,Writing,Enrollment Cap,Current Enrollment,Current Waitlist,cross_list_id,Notes,Description,deleted,Academic Term Code,last_modified
CS,0445,25577,1200,M,5:30 PM,6:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25553,1300,TuTh,9:25 AM,10:40 AM,TBA-72,J. Ramirez,nomad,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,31422,1300,W,8:55 AM,9:45 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25554,1300,W,4:30 PM,5:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25567,1300,W,5:30 PM,6:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25971,1400,MW,3:25 PM,4:40 PM,TBA-72,T. Hoffman,hoffmant,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25972,1400,Th,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,31423,1400,Th,1:15 PM,2:05 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,26152,1400,Th,2:20 PM,3:10 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,25956,1010,TuTh,2:50 PM,4:05 PM,TBA-60,J. Billingsley,jfb42,,LEC,AT,,60,,,,,Enrollment Cap: 60,0,2214,10/28/2020 11:42
CS,0447,25957,1010,W,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,31424,1010,W,1:15 PM,2:05 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,25958,1010,W,2:20 PM,3:10 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,25813,1030,MW,5:00 PM,6:15 PM,TBA-60,J. Billingsley,jfb42,,LEC,AT,,60,,,,,Enrollment Cap: 60,0,2214,10/28/2020 11:42
CS,0447,25814,1030,Tu,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,25815,1030,Tu,4:30 PM,5:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,31425,1030,Tu,1:15 PM,2:05 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,25953,1070,MW,11:05 AM,12:20 PM,TBA-60,L. Nunes Quaresma de Oliveira,lun8,,LEC,AT,,60,,,,,Enrollment Cap: 60,0,2214,10/28/2020 11:42
CS,0447,31426,1070,Tu,5:30 PM,6:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,25954,1070,Tu,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,25955,1070,Tu,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,27054,1090,TuTh,9:25 AM,10:40 AM,TBA-60,L. Nunes Quaresma de Oliveira,lun8,,LEC,AT,,60,,,,,Enrollment Cap: 60,0,2214,10/28/2020 11:42
CS,0447,27055,1090,W,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,27056,1090,W,6:30 PM,7:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0447,31427,1090,W,3:25 PM,4:15 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25929,1030,TuTh,1:15 PM,2:30 PM,TBA-50,V. Petrucci,vtp4,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25931,1030,F,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25930,1030,F,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25942,1160,MW,1:15 PM,2:30 PM,TBA-50,V. Petrucci,vtp4,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25944,1160,Th,7:50 AM,8:40 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25943,1160,Th,8:55 AM,9:45 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25966,1200,MW,3:25 PM,4:40 PM,TBA-50,V. Petrucci,vtp4,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25968,1200,Tu,8:55 AM,9:45 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0449,25967,1200,Tu,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0590,25559,1140,TuTh,4:30 PM,5:45 PM,TBA,P. Quirin,ptq1,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0590,25561,1150,MW,5:00 PM,6:15 PM,TBA,P. Quirin,ptq1,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,25876,1050,MW,9:25 AM,10:40 AM,TBA-50,S. Khattab,ksm73,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,1501,25877,1050,F,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,25878,1050,F,3:25 PM,4:15 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,32149,1090,MW,5:00 PM,6:15 PM,TBA-50,N. Farnan,nlf4,,LEC,AT,,50,,,,NEW COURSE,Enrollment Cap: 50 / NEW COURSE,0,2214,10/28/2020 11:42
CS,1501,32150,1090,Th,10:00 AM,10:50 AM,TBA-25,TBD,,,REC,AT,,25,,,,NEW COURSE,Enrollment Cap: 25 / NEW COURSE,0,2214,10/28/2020 11:42
CS,1501,32153,1090,Th,12:10 PM,1:00 PM,TBA-25,TBD,,,REC,AT,,25,,,,NEW COURSE,Enrollment Cap: 25 / NEW COURSE,0,2214,10/28/2020 11:42
CS,1501,25884,1170,TuTh,1:15 PM,2:30 PM,TBA-50,N. Farnan,nlf4,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,1501,25886,1170,F,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,25885,1170,F,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,25888,1210,TuTh,2:50 PM,4:05 PM,TBA-50,N. Farnan,nlf4,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,1501,25892,1210,F,1:15 PM,2:05 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,31318,1210,F,2:20 PM,3:10 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,25894,1245,MW,3:25 PM,4:40 PM,TBA-50,S. Khattab,ksm73,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,1501,25895,1245,F,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1501,25896,1245,F,2:20 PM,3:10 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
